[2019-09-16 02:56:06,497]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/auth?", "request": null, "response": {"Status": "OK"}}
[2019-09-16 02:56:07,018]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/v1/auth?", "request": {"email": "admin@admin.com", "password": "admin"}, "response": {"status": "OK", "token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1Njg1NzczNjcsIm5iZiI6MTU2ODU3NzM2NywianRpIjoiZjI2OTUxOTctMzliYS00MWQ4LWE1YjEtZTVkYzJiOTkwNzliIiwiZXhwIjoxNTcxMTY5MzY3LCJpZGVudGl0eSI6ImFkbWluQGFkbWluLmNvbSIsImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImlkIjoyLCJuYW1lIjoiYWRtaW4iLCJlbWFpbCI6ImFkbWluQGFkbWluLmNvbSIsIm1vYmlsZV9udW1iZXIiOiIwODExMjIxMTIyMTEyIiwicm9sZSI6dHJ1ZX19.8ZeL1kk-9fzct5Vr0baLWkqa4_QF1HiKxwokcF_GDqo"}}
[2019-09-16 02:56:07,076]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/auth?", "request": null, "response": {"Status": "OK"}}
[2019-09-16 02:56:07,090]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/v1/auth?", "request": null, "response": {"claims": {"id": 2, "name": "admin", "email": "admin@admin.com", "mobile_number": "0811221122112", "role": true}}}
[2019-09-16 02:56:09,943]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/trash?", "request": null, "response": {"status": "Ok"}}
[2019-09-16 02:56:10,011]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/v1/trash?", "request": null, "response": [{"id": 1, "trash_category_id": 1, "trash_name": "dummy_trash", "price": 1000, "photo": "dummy_photo", "point": 1, "created_at": "Sun, 15 Sep 2019 19:45:13 -0000", "updated_at": "Sun, 15 Sep 2019 19:45:13 -0000"}, {"id": 2, "trash_category_id": 1, "trash_name": "dummy_trash", "price": 2000, "photo": "dummy_photo", "point": 2, "created_at": "Sun, 15 Sep 2019 19:45:13 -0000", "updated_at": "Sun, 15 Sep 2019 19:45:13 -0000"}]}
[2019-09-16 02:56:10,140]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/trash_category?", "request": null, "response": {"status": "Ok"}}
[2019-09-16 02:56:10,199]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/v1/trash_category?", "request": null, "response": [{"id": 1, "category_name": "dummy_category", "created_at": "Sun, 15 Sep 2019 19:45:13 -0000", "updated_at": "Sun, 15 Sep 2019 19:45:13 -0000"}]}
[2019-09-16 02:56:30,944]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/trash?", "request": null, "response": {"status": "Ok"}}
[2019-09-16 02:56:31,163]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/v1/trash?", "request": {"trash_category_id": "1", "trash_name": "asasasa", "price": 0, "photo": "https://firebasestorage.googleapis.com/v0/b/happytrash-e9bae.appspot.com/o/images%2FScreenshot%20from%202019-07-04%2019-57-18.png?alt=media&token=e6020b61-6305-41c4-9cca-07a2fa9ad7fe", "point": 1}, "response": {"id": 4, "trash_category_id": 1, "trash_name": "asasasa", "price": 0, "photo": "https://firebasestorage.googleapis.com/v0/b/happytrash-e9bae.appspot.com/o/images%2FScreenshot%20from%202019-07-04%2019-57-18.png?alt=media&token=e6020b61-6305-41c4-9cca-07a2fa9ad7fe", "point": 1, "created_at": "Sun, 15 Sep 2019 19:56:30 -0000", "updated_at": "Sun, 15 Sep 2019 19:56:30 -0000"}}
[2019-09-16 02:59:41,309]{/home/alta7/Final Project/HappyTrashFlask/apps/__init__.py:92} WARNING - REQUEST_LOG	{"method": "OPTIONS", "code": "200 OK", "uri": "/v1/trash?", "request": null, "response": {"status": "Ok"}}
